Business Name,Address,City,State,Phone,Website,ICP Category,Tags,Source,Source Location
Carabin Shaw,"875 E Ashby Pl #1100, San Antonio, TX 78212, USA",San Antonio,TX,+12102222288,https://www.carabinshaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Gamez Law Firm,"2943 Mossrock, San Antonio, TX 78230, USA",San Antonio,TX,+12107364040,https://www.joegamezlaw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_local_growthlab,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Dunham & Jones,"112 E Pecan St Ste 555, San Antonio, TX 78205, USA",San Antonio,TX,+12107777777,https://www.dunhamlaw.com/tx/san-antonio-criminal-attorneys/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"Barton & Associates, Attorneys at Law","115 Camaron St, San Antonio, TX 78205, USA",San Antonio,TX,+12105000000,https://www.bartonlawoffice.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"The Aguirre Law Firm, PLLC","3015 Napier Pk, San Antonio, TX 78231, USA",San Antonio,TX,+12109220808,https://www.aguirrelawpllc.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"Ruiz & Associates, PLLC","1120 Buena Vista St, San Antonio, TX 78207, USA",San Antonio,TX,+12108994853,https://www.gcrlawoffice.com/?npcmp=dir:local:5090664:78207,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Trey Porter Law,"816 Camaron St Ste 124, San Antonio, TX 78212, USA",San Antonio,TX,+12106731180,https://www.treyporterlaw.com/san-antonio-dwi-lawyers/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Soyars & Morgan Law,"924 McCullough Ave, San Antonio, TX 78215, USA",San Antonio,TX,+12103900000,https://www.soyarsmorganlaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Sean Henricksen Law Firm,"106 S St Mary's St #445, San Antonio, TX 78205, USA",San Antonio,TX,+12109668425,https://www.seanhenricksen.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"Bergmann Law Firm, PLLC","6812 Bandera Rd Ste 203, San Antonio, TX 78238, USA",San Antonio,TX,+12107594336,https://www.wbergmannlaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"Law Offices of Rebecca Gonzalez, P.C.","6243 I-10 Ste 602, San Antonio, TX 78201, USA",San Antonio,TX,+12103682608,https://www.rebeccagonzalezlaw.com/?npcmp=dir:local:4581976:78201,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
The Barrera Firm,"424 E Nueva St, San Antonio, TX 78205, USA",San Antonio,TX,+12106930910,https://www.thebarrerafirm.com/?npcmp=dir:local:3601529:78205,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Paul A. Torres - Torres Law Firm,"Historic Teagarden House, 408 Dwyer Ave, San Antonio, TX 78204, USA",San Antonio,TX,+12107372672,http://www.paultorreslaw.com/contact.html,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Michael & Associates Criminal Defense Attorneys,"321 S Flores St Ste A, San Antonio, TX 78204, USA",San Antonio,TX,+12107917356,https://zealousadvocate.com/criminal-defense/texas/san-antonio/?utm_source=google&utm_medium=GoogleMyBusiness&utm_campaign=gmb,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
The Law Office of Guillermo Lara Jr.,"110 Broadway #490, San Antonio, TX 78205, USA",San Antonio,TX,+12102017599,https://www.sacriminalatty.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Felix Gonzalez Accident and Injury Law Firm,"626 E Quincy St, San Antonio, TX 78215, USA",San Antonio,TX,+12107962846,https://felixgonzalezlaw.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_San_Antonio&utm_id=GBP_San_Antonio,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"Cabañas Law Firm, PLLC","122 Lewis St, San Antonio, TX 78212, USA",San Antonio,TX,+12104464090,https://www.cabanaslaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Law Office of Israel Garcia - San Antonio Accident Lawyer,"926 Chulie Dr, San Antonio, TX 78216, USA",San Antonio,TX,+12105299999,https://www.israelgarcialaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Law Offices of Rudy Vasquez PC,"1430 S Flores St, San Antonio, TX 78204, USA",San Antonio,TX,+12102252828,http://www.rudyvasquez.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
"The Law Office Of Muñoz & Paltz, PLLC","454 Soledad St Ste 203B, San Antonio, TX 78205, USA",San Antonio,TX,+12105875170,http://www.munozpaltzlaw.com/,Legal Services,"AI Automation ICP, Legal Services",Google Places,San Antonio TX
Texas MedClinic Urgent Care - Wurzbach,"9885 I-10, San Antonio, TX 78230, USA",San Antonio,TX,+12106965599,https://www.texasmedclinic.com/location/ih-10-w-wurzbach/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Texas MedClinic Urgent Care - Culebra,"6530 W Loop 1604 N, San Antonio, TX 78254, USA",San Antonio,TX,+12104765577,https://www.texasmedclinic.com/location/loop-1604-n-culebra/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
HealthTexas Primary Care Doctors (San Pedro Clinic),"530 San Pedro Ave, San Antonio, TX 78212, USA",San Antonio,TX,+12102254511,https://healthtexas.org/primary-care/sa/san-pedro/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
CommuniCare Health Centers - Northwest Clinic,"8210 Callaghan Rd, San Antonio, TX 78230, USA",San Antonio,TX,+12102337000,https://communicaresa.org/locations/san-antonio-locations/northwest-campus/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Harbor Health (formerly Village Medical) - Bandera Main,"7579 N Loop 1604 W #200, San Antonio, TX 78249, USA",San Antonio,TX,+12106951900,https://harborhealth.com/locations/bandera-main-clinic?utm_source=gmb&utm_medium=profile&utm_campaign=villagemedical_organic-search_location,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Sheriff Employee Health Clinic,"200 N Comal St B114, San Antonio, TX 78207, USA",San Antonio,TX,+12103355320,,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
HealthTexas Primary Care Doctors (Wurzbach Clinic),"8542 Wurzbach Rd, San Antonio, TX 78240, USA",San Antonio,TX,+12106167300,https://healthtexas.org/primary-care/sa/wurzbach/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Sanitas Medical Center,"303 E Quincy St #102, San Antonio, TX 78215, USA",San Antonio,TX,+12106640605,https://www.mysanitas.com/en/tx/sanitas-downtown,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
HealthTexas Primary Care Doctors (Westover Hills Clinic),"10307 TX-151, San Antonio, TX 78251, USA",San Antonio,TX,+12102374983,https://healthtexas.org/primary-care/sa/westover-hills/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Urgent Care ExpressMed - University Health Medical Center Pavilion,"4647 Medical Dr, San Antonio, TX 78229, USA",San Antonio,TX,+12103588145,https://www.universityhealth.com/services/urgent-care?utm_source=Yext&utm_medium=online_listings_location&utm_campaign=UH_digital&utm_content=ExpressMed,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
CommuniCare Health Centers - West Clinic,"1102 Barclay St, San Antonio, TX 78207, USA",San Antonio,TX,+12102337000,https://communicaresa.org/locations/san-antonio-locations/west-campus/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
University Health Robert B. Green Campus,"903 W Martin St, San Antonio, TX 78207, USA",San Antonio,TX,+12103583400,https://www.universityhealth.com/locations/robert-b-green-campus?utm_source=Yext&utm_medium=online_listings_location&utm_campaign=UH_digital&utm_content=Robert_B_Green_Campus,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
HealthTexas Primary Care Doctors (Stone Oak Clinic),"20821 US-281 Ste 122, San Antonio, TX 78258, USA",San Antonio,TX,+12105461600,https://healthtexas.org/primary-care/sa/stone-oak/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
H-E-B Wellness Primary Care,"1222 N Main Ave #115, San Antonio, TX 78212, USA",San Antonio,TX,+18558039355,https://www.heb.com/wellness/primary-care?utm_source=google&utm_medium=organic&utm_campaign=gmb_wellness,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
HealthTexas Primary Care Doctors (Blanco Clinic),"615 Northwest Loop 410 Suite 210, San Antonio, TX 78216, USA",San Antonio,TX,+12103848282,https://healthtexas.org/primary-care/sa/blanco/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Texas MedClinic Urgent Care - Stone Oak,"323 N Loop 1604 W, San Antonio, TX 78232, USA",San Antonio,TX,+12105495893,https://www.texasmedclinic.com/location/loop-1604-stone-oak-pkwy/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
University Health Medical Center Pavilion,"4647 Medical Dr, San Antonio, TX 78229, USA",San Antonio,TX,+12103588145,https://www.universityhealth.com/locations/medical-center-pavilion?utm_source=Yext&utm_medium=online_listings_location&utm_campaign=UH_digital&utm_content=Medical_Center_Pavilion,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Texas MedClinic Urgent Care - Ingram,"6570 Ingram Rd, San Antonio, TX 78238, USA",San Antonio,TX,+12105205588,https://www.texasmedclinic.com/location/ingram-loop-410/,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
MedFirst Primary Care - The Skinner Clinic,"124 Dallas St, San Antonio, TX 78205, USA",San Antonio,TX,+12102241771,https://www.baptisthealthsystem.com/locations/detail/medfirst-primary-care---skinner-clinic,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Urgent Care ExpressMed - University Health Robert B. Green Campus,"903 W Martin St 1st Floor, San Antonio, TX 78207, USA",San Antonio,TX,+12103583611,http://www.universityhealth.com/services/urgent-care?utm_source=Yext&utm_medium=online_listings_location&utm_campaign=UH_digital&utm_content=RBG_ExpressMed,Medical / Healthcare,"AI Automation ICP, Medical / Healthcare",Google Places,San Antonio TX
Z Dentist San Antonio,"7010 W Loop 1604 N Ste 205, San Antonio, TX 78254, USA",San Antonio,TX,+12108029999,https://www.z-dentist.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
South Park Family Dental,"2310 SW Military Dr #406, San Antonio, TX 78224, USA",San Antonio,TX,+12109271400,https://safamilydentalcare.com/?utm_source=Maps&utm_medium=GBM,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Local Dental,"4419 E Evans Rd Ste 105, San Antonio, TX 78259, USA",San Antonio,TX,+12106861486,https://localdentalsa.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Villa Dental,"1546 Babcock Rd #105, San Antonio, TX 78229, USA",San Antonio,TX,+12109208481,http://www.villadentaltexas.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Emergency Dental Care USA,"4819 Fredericksburg Rd, San Antonio, TX 78229, USA",San Antonio,TX,+12107751224,https://www.emergencydental.com/sanantonio,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
The Dental Space,"3207 SE Military Dr #101, San Antonio, TX 78223, USA",San Antonio,TX,+12108908000,https://www.dentalspacesa.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Rio Dental Emergency Dentist San Antonio,"2811 Hillcrest Dr, San Antonio, TX 78201, USA",San Antonio,TX,+12107858526,https://www.riodentaltx.com/?utm_source=google&utm_medium=gmb,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Texas Dental,"6206 FM78, San Antonio, TX 78244, USA",San Antonio,TX,+12106614211,https://www.texas-dental.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
San Antonio Dental Center,"8373 Culebra Rd #102a, San Antonio, TX 78251, USA",San Antonio,TX,+12108009691,http://www.sadentalcenter.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
New Heights Dental & Braces,"7700 Broadway #102, San Antonio, TX 78209, USA",San Antonio,TX,+12108285300,https://newheightsdental.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
All Smiles Dental Center,"7910 Teak Ln #207, San Antonio, TX 78209, USA",San Antonio,TX,+12107147429,https://www.allsmilesdentalcenter.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Dental Defenders,"690 SW Military Dr, San Antonio, TX 78221, USA",San Antonio,TX,+12109222000,https://www.dentaldefenderssa.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Comfort Dental West Avenue - San Antonio,"4812 West Ave, San Antonio, TX 78213, USA",San Antonio,TX,+12109770321,https://comfortdental.com/office/tx-west-avenue/?utm_source=google&utm_medium=organic&utm_campaign=Yext,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Galaxia Dental,"3031 W Woodlawn Ave #101, San Antonio, TX 78228, USA",San Antonio,TX,+12108868080,http://galaxiadentalsa.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Inspire Dental of San Antonio,"14801 San Pedro Ave, San Antonio, TX 78232, USA",San Antonio,TX,+12109720768,https://inspiredentalsa.com/#,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Hildebrand Family Dental Care,"1001 W Hildebrand Ave, San Antonio, TX 78201, USA",San Antonio,TX,+12107339477,https://www.hildebrandfamilydental.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Thousand Oaks Dental,"2235 Thousand Oaks Dr #120, San Antonio, TX 78232, USA",San Antonio,TX,+12104990975,https://www.yoursanantoniodentists.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Hernandez Dental Center,"1347 Fair Ave, San Antonio, TX 78223, USA",San Antonio,TX,+12105338191,http://www.southsanantoniodentist.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Texas Smiles dental center,"202 N General McMullen Dr, San Antonio, TX 78237, USA",San Antonio,TX,+12104320909,http://www.texassmilesusa.com/,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Celebrate Dental & Braces - San Antonio San Pedro,"6868 San Pedro Ave, San Antonio, TX 78216, USA",San Antonio,TX,+12106860674,https://celebratedental.com/location/texas/san-pedro-san-antonio/?utm_source=google&utm_medium=organic&utm_campaign=gbp-san-pedro,Dental,"AI Automation ICP, Dental",Google Places,San Antonio TX
Team Kristen Schramme - Group of Keller Williams,"1102 E Sonterra Blvd suite 106, San Antonio, TX 78258, USA",San Antonio,TX,+12104829094,http://www.sahomeguide.net/,Real Estate,"AI Automation ICP, Real Estate",Google Places,San Antonio TX
