Domains to sweep broadly: 901
batch 1/46: 50 people, 27 candidates
batch 2/46: 50 people, 50 candidates
batch 3/46: 50 people, 50 candidates
batch 4/46: 29 people, 0 candidates
batch 5/46: 50 people, 50 candidates
batch 6/46: 50 people, 47 candidates
batch 7/46: 0 people, 0 candidates
batch 8/46: 50 people, 2 candidates
batch 9/46: 50 people, 49 candidates
batch 10/46: 50 people, 1 candidates
batch 11/46: 0 people, 0 candidates
batch 12/46: 50 people, 50 candidates
batch 13/46: 30 people, 25 candidates
batch 14/46: 50 people, 50 candidates
batch 15/46: 50 people, 45 candidates
batch 16/46: 50 people, 50 candidates
batch 17/46: 50 people, 50 candidates
batch 18/46: 50 people, 50 candidates
batch 19/46: 50 people, 0 candidates
batch 20/46: 0 people, 0 candidates
batch 21/46: 0 people, 0 candidates
batch 22/46: 0 people, 0 candidates
batch 23/46: 0 people, 0 candidates
batch 24/46: 50 people, 27 candidates
batch 25/46: 50 people, 50 candidates
batch 26/46: 50 people, 46 candidates
batch 27/46: 0 people, 0 candidates
batch 28/46: 50 people, 48 candidates
batch 29/46: 0 people, 0 candidates
batch 30/46: 50 people, 50 candidates
batch 31/46: 0 people, 0 candidates
batch 32/46: 50 people, 47 candidates
batch 33/46: 50 people, 42 candidates
batch 34/46: 50 people, 6 candidates
batch 35/46: 50 people, 36 candidates
batch 36/46: 50 people, 0 candidates
batch 37/46: 50 people, 50 candidates
batch 38/46: 50 people, 50 candidates
batch 39/46: 50 people, 50 candidates
batch 40/46: 50 people, 46 candidates
batch 41/46: 50 people, 31 candidates
batch 42/46: 50 people, 50 candidates
batch 43/46: 50 people, 50 candidates
batch 44/46: 50 people, 49 candidates
batch 45/46: 50 people, 19 candidates
batch 46/46: 0 people, 0 candidates
DONE. new=0 total=1976
