Company Name,Address,Phone,Website,Contact Name,Contact Title,Email,Email Source,Lead Source
 Realty Advantage,"17319 San Pedro Ave, San Antonio, TX, 78232",(210) 495-5252,,,,,,Yelp
1800FairOffer,"1151 N Loop 1604 W, San Antonio, TX, 78248",(800) 324-7633,,,,,,Yelp
210 Realty Group,"7887 Broadway, San Antonio, TX, 78209",(210) 896-3759,,,,,,Yelp
3D Realty and Property Management,"8200 I-10 Ste #505, San Antonio, TX 78230, USA",(210) 276-0140,http://3drealtypm.com/,,,,,Google Places
3Z Property Management,"2706 Hunter Rd, San Marcos, TX 78666, USA",(512) 566-4200,http://www.3zmanagement.com/,,,info@3zmanagement.com,Hunter,Google Places
3Z Realty,"2706 Hunter Rd, San Marcos, TX, 78666",(866) 999-3349,,,,,,Yelp
830 Property Management,"933 N Main St, Boerne, TX 78006, USA",(830) 522-5501,http://www.830management.com/,,,,,Google Places
"A Home For You, Inc","New Braunfels, TX, 78130",(210) 823-5526,,,,,,Yelp
Action Realty,"14350 Northbrook Dr, San Antonio, TX, 78232",(210) 298-4410,,,,,,Yelp
Affordable Home Solutions SA,"San Antonio, TX, 78255",(210) 872-7405,,,,,,Yelp
Alamo Area Real Estate Management,"2526 N Loop 1604 W, San Antonio, TX, 78248",(210) 280-8457,,,,,,Yelp
Alamo Commercial Real Estate,"11411 Rendezvous Dr, San Antonio, TX, 78216",(210) 504-2969,,,,,,Yelp
Alamo Real Estate Brokers,"7272 Wurzbach Rd, San Antonio, TX, 78240",(210) 340-4959,,,,,,Yelp
Alamo Real Estate Connection,"New Braunfels, TX, 78132",(210) 865-9577,,,,,,Yelp
Alamo Top Realty,"7530 Bandera Rd, San Antonio, TX, 78238",(210) 273-1499,,,,,,Yelp
ALG Property Management Boerne,"128 W Bandera Rd Ste. 6, Boerne, TX 78006, USA",(210) 999-9430,,,,,,Google Places
All County Alamo Property Management,"1777 Northeast Interstate 410 Loop #600, San Antonio, TX 78217, USA",(210) 718-0992,https://allcountyalamo.com/,,,jestrada@allcountyalamo.com,Hunter,Google Places
Amazing Realty,"893 N Interstate 35, Round Rock, TX, 78664",(512) 710-4000,,,,,,Yelp
America Homes And Ranches,"Kerrville, TX, 78029",(830) 459-5263,,,,,,Yelp
Amy Willis & Associates,"7602 S Staples, Corpus Christi, TX, 78414",(361) 993-7653,,,,,,Yelp
Amz Realty PM,"244 FM306 Ste 120 Unit 631, New Braunfels, TX 78130, USA",(210) 500-8885,https://amzrealtypm.com/,,,info@amzrealty.com,Apify,Google Places
Aquity Management Group,"805 E Court St #100, Seguin, TX 78155, USA",(830) 719-4264,http://www.aquitymanagementgroup.com/,,,info@aquitymanagementgroup.com,Apify,Google Places
Archer & Moreno Realty,"203 S Saint Marys St, San Antonio, TX, 78205",(210) 298-8865,,,,,,Yelp
Arden Hills Realty and Property Management,"324 Clay St, Kerrville, TX 78028, USA",(830) 792-5775,http://www.ardenhillspropertymanagement.com/,,,info@arden-hills.com,Website,Google Places
Austin Investment & Relocation | AIR Property Group,"Austin, TX, 78748",(512) 574-2969,,,,,,Yelp
Aviam Corporate Housing,"195 S Academy Ave, New Braunfels, TX 78130, USA",(830) 624-0124,http://www.aviam.com/,,,info@aviam.com,Website,Google Places
Bandera Texas Real Estate,"327 Main St, Bandera, TX 78003, USA",(830) 460-0889,http://www.banderatexasrealestate.com/,,,larry@banderatexasrealestate.com,Website,Google Places
Bane Properties,"17460 Ih 35 N, Schertz, TX, 78154",(210) 651-9659,,,,,,Yelp
Barclé Group New Braunfels Vacation Rental Management,"371 W Lincoln St, New Braunfels, TX 78130, USA",(512) 649-0177,https://barclegroup.com/,,,connor.albrecht@barclegroup.com,Hunter,Google Places
Bay Property Management Group San Antonio,"7400 Blanco Rd Ste 262, San Antonio, TX 78216, USA",(726) 888-6950,https://texasbmg.com/areas-we-serve/property-management-in-san-antonio-texas/,,,info@texasbmg.com,Hunter,Google Places
Belmares Properties,"13526 George Rd, San Antonio, TX, 78230",(210) 877-0815,,,,,,Yelp
Berkshire Hathaway,"16845 Blanco Rd, San Antonio, TX, 78232",(210) 493-1799,,,,,,Yelp
Bexar Management,"7311 Broadway, San Antonio, TX 78209, USA",(210) 421-9237,http://www.bexarmanagement.com/,,,leasing@bexarmanagement.com,Apify,Google Places
BHGRE Bradfield Properties,"500 N Lp 1604 E, San Antonio, TX, 78232",(210) 496-4949,,,,,,Yelp
Boehm Commercial Group,"116 Herff Rd, Boerne, TX, 78006",(830) 431-2467,,,,,,Yelp
Booked Vacation Rental Management San Antonio,"San Antonio, TX, 78258",(214) 302-5424,,,,,,Yelp
Brohill Realty Ltd,"1004 W Oaklawn Rd, Pleasanton, TX 78064, USA",(830) 569-4455,https://www.brohillrealty.com/,,,roxie@brohillrealty.com,Hunter,Google Places
Brush Country Real Estate,"15101 Main St, Lytle, TX, 78052",(830) 709-4304,,,,,,Yelp
Business Brokers of Texas,"8620 N New Braunfels Ave, San Antonio, TX, 78217",(210) 697-8760,,,,,,Yelp
C & B Realty,"8323 Culebra Rd, San Antonio, TX, 78251",(210) 647-0008,,,,,,Yelp
Camelot Properties,"Boerne, TX, 78006",(210) 571-1155,,,,,,Yelp
Casa Cantera Property Management,"4204 Gardendale Rd Ste 308, San Antonio, TX 78229, USA",(210) 890-1989,http://www.casacanteratx.com/,,,mariel@casacanteratx.com,Hunter,Google Places
Century 21 United- D&D,"1498 E Court St, Seguin, TX, 78155",(830) 379-7111,,,,,,Yelp
Chapawu Properties,"518 N Hackberry St, San Antonio, TX 78202, USA",(210) 880-0923,https://www.chapawuproperties.net/,,,rentals@housebuyersa.com,Website,Google Places
Clark Realty & Associates,"8635 Brucks Dr SPC 100, Converse, TX 78109, USA",(210) 655-5355,http://clarkrealtysa.com/,,,kclark@clarkrealtysa.com,Hunter,Google Places
Class Community Service,"433 Kitty Hawk Rd, Universal City, TX, 78148",(726) 231-3651,,,,,,Yelp
CloverLeaf Property Management,"8620 N New Braunfels Ave #620, San Antonio, TX 78217, USA",(210) 827-7777,http://www.cloverleafpropertymanagement.com/,,,info@cloverleafpm.com,Apify,Google Places
"Coldwell Banker D'Ann Harper, Realtors","18756 Stone Oak Pkwy, San Antonio, TX, 78258",(210) 483-7070,,,,,,Yelp
Cornertstone Property Management,"4615 Walzem Rd Ste 203, San Antonio, TX 78218, USA",(210) 440-1223,https://www.cornerstonepmtx.com/,,,bmcmillan@cornerstonepmtx.com,Hunter,Google Places
