First Name,Last Name,Email,Phone,Company Name,City,State,Website,Tags,Source,ICP Category,Contact Title,Review Count,Rating
,,,+12104140690,The San Antonio Lash Studio,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Beauty / Lash Studio",Google Places,Beauty / Lash Studio,,4,5
,,,+12109926202,Precision Auto Masters,San Antonio,TX,https://www.precisionautomasterstx.com/,"Digital Desert, Review Automation Target, Lead Gen Target, Auto Services / Repair",Google Places,Auto Services / Repair,,4,5
,,,,El Carbonero Food Truck,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Food & Beverage / Food Truck",Google Places,Food & Beverage / Food Truck,,5,5
,,,,Waca,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Food & Beverage / Food Truck",Google Places,Food & Beverage / Food Truck,,6,4.3
,,,+18303771726,KD's Janitorial Service LLC | Commercial & Post Construction Cleaning San Antonio TX,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Cleaning / Commercial",Google Places,Cleaning / Commercial,,1,5
,,,+12104521902,Rivera's Lawn Services,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Landscaping / Lawn Care",Google Places,Landscaping / Lawn Care,,2,5
,,,+18556291684,Urgent Tree Care,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Landscaping / Tree",Google Places,Landscaping / Tree,,1,5
,,,+12103785538,A Best Tree Service,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Landscaping / Tree",Google Places,Landscaping / Tree,,3,5
,,,+12108428763,Inspiring Great Minds Learning Academy,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Childcare / Daycare",Google Places,Childcare / Daycare,,4,5
,,,+12106891184,Texas Notary Public,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Professional / Notary",Google Places,Professional / Notary,,3,4.7
,,,+12109527269,Gallegos TX Notary,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Professional / Notary",Google Places,Professional / Notary,,4,5
,,,+12107340794,Express Tax Services-Notary Public,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Professional / Notary",Google Places,Professional / Notary,,10,3.4
,,,+12107086347,Notary Public-Esther Hernandez,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Professional / Notary",Google Places,Professional / Notary,,1,5
,,,+12109951458,Bellaluna Elisa Authorized Notary Public,San Antonio,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, Professional / Notary",Google Places,Professional / Notary,,1,5
