First Name,Last Name,Email,Phone,Company Name,City,State,Website,Tags,Source,ICP Category,Contact Title,Review Count,Rating
,,,+12102746497,JH Plumbing,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 11-25 Reviews, Home Services / Plumbing",Google Places,Home Services / Plumbing,,15,4.7
,,,+12104148695,Snyder electric,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 11-25 Reviews, Home Services / Electrical",Google Places,Home Services / Electrical,,13,5
,,,+18304072837,Climate Care Air Conditioning and Heating,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 11-25 Reviews, Home Services / HVAC",Google Places,Home Services / HVAC,,17,5
,,,+12108828802,"Nations Air, LLC",Boerne,TX,https://nationsairtx.com/,"Digital Desert, Review Automation Target, Lead Gen Target, 1-5 Reviews, Home Services / HVAC",Google Places,Home Services / HVAC,,1,5
,,,+18308168230,Quality Roofing - Boerne,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 11-25 Reviews, Home Services / Roofing",Google Places,Home Services / Roofing,,15,2.7
,,,+12108272060,HBT Construction LLC,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 6-10 Reviews, Home Services / Roofing",Google Places,Home Services / Roofing,,10,4.9
,,,+12107777441,Boerne Painting LLC,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 1-5 Reviews, Home Services / Painting",Google Places,Home Services / Painting,,2,5
,,,+18303882575,Mejiapainting,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 1-5 Reviews, Home Services / Painting",Google Places,Home Services / Painting,,5,5
,,,+18302492960,Boerne Pest Control,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 11-25 Reviews, Home Services / Pest Control",Google Places,Home Services / Pest Control,,16,4.6
,,,+12103264523,Central Texas Fence Inc,Boerne,TX,,"Digital Desert, Review Automation Target, Lead Gen Target, 1-5 Reviews, Home Services / Fencing",Google Places,Home Services / Fencing,,4,5
